タイトル,動画URL,再生回数,チャンネル登録者数,再生回数/チャンネル登録者数,登録日付
【田中萌ダンス第２弾】今度は日向坂46!?本気ダンス練習中!!【女子アナダンス部】,https://www.youtube.com/watch?v=nxa84XZSd3A,97675,135000,72,2020/03/14
Paprika 英語バージョンダンス動画メイキング Kan &amp; Aki&#39;s CHANNEL,https://www.youtube.com/watch?v=-Lg1Z-pX8EM,912026,3000000,30,2020/03/14
【３分】二の腕・肩こりに効く簡単タオルダンス！座ったまま楽しく痩せるダンスでダイエット！【自宅で運動不足解消】家で一緒にやってみよう,https://www.youtube.com/watch?v=r26YFOI7XcU,287536,531000,54,2020/03/14
かんあきが歌うPaprika 英語バージョン♪パプリカダンス,https://www.youtube.com/watch?v=IaWNeCcAMRE,1900741,3000000,63,2020/03/13
【魔進戦隊キラメイジャー】みんなで踊ろう！キラメイダンス   反転  練習用,https://www.youtube.com/watch?v=ZffcM4A02z0,270541,395,68491,2020/03/12
『ジャストダンス2020』フルソングリストトレーラー,https://www.youtube.com/watch?v=IR-ap74IhLs,82131,204000,40,2020/03/12
ダンス,https://www.youtube.com/watch?v=DWsdP0O_QpA,24,19,126,2020/03/12
【密着PayPay】ペイペイ新ダンスへの挑戦【宮川大輔さん】,https://www.youtube.com/watch?v=GIhf4khVCCE,5241306,7120,73613,2020/03/12
①ＥＸＰＧダンスレッスン EXILE「Rising Sun」振り付け インストラクター ATSUMI 【日刊スポーツ】,https://www.youtube.com/watch?v=IXEoQOkp7Vc,16081,6320,254,2020/03/11
ARASHI’S DIARYから大野さんのダンスの秘密を探る会,https://www.youtube.com/watch?v=SKZOGh635nY,154054,48400,318,2020/03/09
【10分集中】全身痩せるダンス(マンションでも),https://www.youtube.com/watch?v=A7tYTvrgNak,115441,461000,25,2020/03/09
【３D】JK✨がｵﾊﾞ…お姉さん💕にダンスレッスン💃【ホロライブ/宝鐘マリン・夏色まつり】,https://www.youtube.com/watch?v=N4i8zePp5Zc,345095,298000,115,2020/03/08
【TXT】 BTSダンスを完コピ&amp;倍速ダンスに挑戦！｜『週活！TOMORROW X TOGETHER』AbemaTVで毎週日曜よる8時,https://www.youtube.com/watch?v=dSTB_j-lkU8,406669,1420000,28,2020/03/08
【初心者用１０分】超簡単な動きで痩せるダンス！自宅でできる全身運動で脂肪燃焼！【飛ばずに痩せる筋トレダンスでダイエット】家で一緒にやってみよう,https://www.youtube.com/watch?v=y7QYqARQJeY,471299,531000,88,2020/03/08
【初公開／４０分動画】超痩せるダンスでダイエット（保存版フルレッスン）【エアロビクスで脂肪を燃やそう】#100,https://www.youtube.com/watch?v=FJ_2gsVljAQ,80834,30000,269,2020/03/08
みんなで踊ろう！キラメイダンス！（キラメイチェンジver.）【公式】／「魔進戦隊キラメイジャー」エンディング,https://www.youtube.com/watch?v=ae3aWjVdctg,771209,1090000,70,2020/03/08
みんなで踊ろう！キラメイダンス！【公式】／「魔進戦隊キラメイジャー」エンディング,https://www.youtube.com/watch?v=7PvDKxGMUwg,2447095,1090000,224,2020/03/08
ダンス動画の撮影裏はこんな感じ！〜ダンスレッスンから撮影まで〜,https://www.youtube.com/watch?v=Weul5FnBkL0,521174,3000000,17,2020/03/07
『ジャストダンス2020』ソングリストトレーラー Part2,https://www.youtube.com/watch?v=CtUOf9YrAV8,19410,204000,9,2020/03/06
ピカチュウとかんあきたちがアイドルになってダンス！ピピピピ★ピカチュウ〜10まんボルトのスマイルで世界を変えて~,https://www.youtube.com/watch?v=c9ZNlexqHB4,869552,3000000,28,2020/03/06
【髭男メドレー】超痩せるダンス　ダイエットエクササイズ　レベル3,https://www.youtube.com/watch?v=30UZcHn3jQM,64709,7060,916,2020/03/05
久しぶりに本気ダンスバトルをする事に。。。！,https://www.youtube.com/watch?v=aWlwKC3T8sQ,339839,639000,53,2020/03/03
ベリーダンス・オンラインレッスン開講！2020年3月4日 AALANJU,https://www.youtube.com/watch?v=lBmSIEA--Rk,936,68,1376,2020/03/03
ダンスの基本「アップ」レクチャー【おうちでストリートダンスチャレンジ】,https://www.youtube.com/watch?v=DmBFIykwKYE,631,372,169,2020/03/02
準備体操【おうちでストリートダンスチャレンジ】,https://www.youtube.com/watch?v=ljUHMq8LJlM,854,372,229,2020/03/02
正義に仕える気高き魂でケボーンダンス！！,https://www.youtube.com/watch?v=oQE3wEMf0uE,198988,67000,296,2020/03/01
「魔進戦隊キラメイジャー」ピンク・工藤美桜、エンディングダンスに苦戦？ インタビュー,https://www.youtube.com/watch?v=OsCuK5nNtdk,287465,1640000,17,2020/02/29
BTS (방탄소년단) &#39;ON&#39; dance tutorial　バンタン「オン」ダンス 振り付け解説,https://www.youtube.com/watch?v=IiSnNAQOh-k,37379,75100,49,2020/02/29
【K-POP】話題のMAMAMOOの歌でダイエットダンスしてみた【HIP】ㅣBLOSE UP,https://www.youtube.com/watch?v=BUBghv-DI84,290178,1270,22848,2020/02/28
『ジャストダンス2020』 撮影の裏側～KPOP編～,https://www.youtube.com/watch?v=ZWvYohphiHc,54345,204000,26,2020/02/27
【腰肉撃退】11分の痩せるダンスでお腹周りの浮き輪をなくそう！くびれを作る筋トレダンス/マンションOK/飛ばない【ダイエット】家で一緒にやってみよう,https://www.youtube.com/watch?v=aI8hdbfb96I,1212650,531000,228,2020/02/25
ベリーダンス踊ってみた,https://www.youtube.com/watch?v=0mUkqnjyysc,75153,9940,756,2020/02/24
【ラタタ】振り付けダンスレッスン。NAOTOが教えます！【Rat-tat-tat】,https://www.youtube.com/watch?v=C8VQTdqGiLo,737473,300000,245,2020/02/21
【未公開シーン】踊れたらかっこいい！シャッフルダンス,https://www.youtube.com/watch?v=aDNaf859Zeo,676193,79300,852,2020/02/18
美 少年【ダンス伝言ゲーム】音声通話だけで伝えて！,https://www.youtube.com/watch?v=xQJ-sHBMnJU,441013,1080000,40,2020/02/17
アンジュによるブリキノダンスがかっこ可愛すぎる…,https://www.youtube.com/watch?v=6fvvGGFz3Ro,213478,1960,10891,2020/02/16
成田組ショーダンス【奇想曲】（社交ダンス）,https://www.youtube.com/watch?v=kSYQF3xr3Y0,697,181,385,2020/02/16
叡智の騎士＆剛健の騎士でケボーンダンス！！,https://www.youtube.com/watch?v=MRaKu-1lAMM,182173,67000,271,2020/02/16
佐久間大介 ダンス特集,https://www.youtube.com/watch?v=ZD5xmfmElCk,212203,927,22891,2020/02/14
フィロソフィーのダンス/シスター（ライブ・アット・スタジオ・コースト）,https://www.youtube.com/watch?v=75t6SLlTaI0,141490,19700,718,2020/02/13
【複合MAD】ブリキノダンス 作り直した 『アニメーション Anime Mix』Buriki no Dance Reworked,https://www.youtube.com/watch?v=fUD9cVsJc5g,322060,14600,2205,2020/02/11
本田翼がキレキレダンス！LINEモバイルダンス新作は段差セットに苦戦!? 　“LINEモバイルダンス” 新TVCM「LINEモバイルダンス・サプライズ」篇,https://www.youtube.com/watch?v=LWNDDl6G2vU,557450,864000,64,2020/02/10
【地獄の3分】痩せるダンス〜小島よしおver〜で短時間で楽しく汗だく！激しいけど飛ばずにマンションOK！家で一緒にやってみよう,https://www.youtube.com/watch?v=zQKE3xx7QyU,143575,531000,27,2020/02/07
広瀬すず、ミニワンピで軽快なダンス披露！可愛く決めポーズ　『ソフトバンクロボティクス』新テレビCM「Whizで隠れダスト掃除」篇＆メイキング,https://www.youtube.com/watch?v=Y-Wlxq_xhms,764478,864000,88,2020/02/03
SUNMI 선미/LALALAY 날라리 カバーダンス,https://www.youtube.com/watch?v=eHRtFEdf624,27406,11100,246,2020/02/02
【飛ばない15分】マンションOK！楽しく痩せるダンスで全身の脂肪をごっそり落とす！〜10万人記念の脂肪燃焼ダンスで滝汗！〜　家で一緒にやってみよう,https://www.youtube.com/watch?v=zBdcY4JV1wA,743700,531000,140,2020/02/02
エンディングダンスも覚えちゃおう！『ヒーリングっど♥プリキュア』大大大紹介！！,https://www.youtube.com/watch?v=5i6XGNaP9Js,2904810,308000,943,2020/02/02
[びじゅチューン！] ダンス寿司 | NHK,https://www.youtube.com/watch?v=6Gq2onDDEl0,353441,2070000,17,2020/01/29
【ENGsub】日本のアイドル界を牽引するダンスがここにある！嵐の大野智さんを徹底解説！,https://www.youtube.com/watch?v=l-Lw1CwQi5E,591789,48400,1222,2020/01/28
【ダンス】3世代13人のプリキュアがキレッキレのエンディングダンスを生披露!『映画プリキュアミラクルリープ みんなとの不思議な1日』製作会見,https://www.youtube.com/watch?v=jaxpGsT0ltQ,333757,17200,1940,2020/01/28
【地獄の11分】マンションOK！キツイけど病みつきになる痩せるダンス！〜ノリノリ音楽で飛ばない腹筋ダイエット〜【#stayhome】,https://www.youtube.com/watch?v=Xp2meYR_fIA,2562636,531000,482,2020/01/26
ヒロイン育成計画/HoneyWorks 反転＆スロー【ダンスチュートリアル】,https://www.youtube.com/watch?v=0FAakZAS3D0,190818,59300,321,2020/01/25
【3分】マンションOK！飛ばない痩せるダンスで自宅で簡単脂肪燃焼！産後ダイエットにも！!家で一緒にやってみよう,https://www.youtube.com/watch?v=SoQzMJYEvZc,774359,531000,145,2020/01/22
痩せるダンス【ジャンプなし有酸素運動】うるさくないからアパートでもＯＫ #088,https://www.youtube.com/watch?v=eIfuMvkZOXo,194317,30000,647,2020/01/20
フィロソフィーのダンス 「ダンス・ファウンダー」,https://www.youtube.com/watch?v=xp3RbFcaxD8,469142,1080,43439,2020/01/19
【奇跡】現TikToker達がダンス伝言ゲームをしたら完璧すぎた、、！？,https://www.youtube.com/watch?v=S9R4knxa19Y,1703608,441000,386,2020/01/18
Legend UNIVERSE 2019 WINNER!! | 登美丘高校ダンス部（振付：akane） |“  Can&#39;t Stop Dancing!! “,https://www.youtube.com/watch?v=PYkSk4lkJNg,150414,470,32002,2020/01/17
『ジャストダンス2020』トレーラー,https://www.youtube.com/watch?v=d0ArYxOw33Q,135533,204000,66,2020/01/17
【地獄の11分】マンションOK！飛ばない脂肪燃焼ダンスで全身の脂肪をみるみる燃やす！【痩せるダンスダイエットで正月太り解消！】#家で一緒にやってみよう,https://www.youtube.com/watch?v=KxzZJwmB8qc,4780584,531000,900,2020/01/15
第二回企業対抗ダンス部コンテスト(CCDC vol.2) TRAILER,https://www.youtube.com/watch?v=oG6DXgVUT14,181,3,6033,2020/01/14
【複合MAD】ブリキノダンス | アニメ Anime mix,https://www.youtube.com/watch?v=cZi1Jo20yys,258058,14600,1767,2020/01/13
【ダンスバトル】どちらが本物の&quot;リサイタルズ&quot;か決着をつけます。,https://www.youtube.com/watch?v=M8uzO75zbtM,2252809,5230000,43,2020/01/10
【痩せるダンス】1100万回再生された脂肪燃焼ダンスでダイエット！９分間で全身の脂肪をみるみる燃やす！【Work Out: Dance to Burn Fat】#家で一緒にやってみよう,https://www.youtube.com/watch?v=WzWVCkZMyYU,1623962,531000,305,2020/01/10
しーちゃんと目隠しダンスに挑戦したらただの事故動画になった・・ｗｗ,https://www.youtube.com/watch?v=qMEk0TVAWTI,492212,350000,140,2020/01/10
唯一の コミュニケーション・サルサ  楽しく癒される 大人のお洒落な ダンススクール ダンス教室 ダンスレッスン 人気ダンス 貴方もすぐに始められる！,https://www.youtube.com/watch?v=vZp9tMzIBbA,199,184,108,2020/01/09
【新衣装で】ビースト・ダンス　歌ってみた【相羽ういは/にじさんじ】,https://www.youtube.com/watch?v=5BnhQbcPrBg,239556,117000,204,2019/12/30
【踊ってみた】ももいろクローバーZさんと全力ダンス！,https://www.youtube.com/watch?v=jNJOmuAPpUU,1355338,1950000,69,2019/12/30
一緒に踊ろう♪「カラフル・パーティ」ダンスバージョン☆振付練習☆himawari-CH,https://www.youtube.com/watch?v=gaokw97kGAE,3082646,2250000,137,2019/12/29
【文化祭】文化祭で熱狂したかっこいい神ダンス,https://www.youtube.com/watch?v=BbPhy1pEGFE,644123,2010,32045,2019/12/28
【痩せすぎ注意ダンス】簡単な動きで痩せるダイエットダンスを踊ってみたから一緒に踊ろう！【毎日10分】家で一緒にやってみよう,https://www.youtube.com/watch?v=dJw0g2Y_qnA,714102,531000,134,2019/12/27
パンジー・ダンス/GUMI,https://www.youtube.com/watch?v=bO1iWHzPKOw,487,267,182,2019/12/26
ついに実写化！マルシンハンバーグのみみちゃんＣＭダンス/マルシンハンバーグ,https://www.youtube.com/watch?v=hnMThd945aM,53851,20,269255,2019/12/26
2019ちょうふグローバルフェスタ☆タヒチアンダンス⑥Tahitian dance,https://www.youtube.com/watch?v=qJv4cxJzQFA,177662,2900,6126,2019/12/22
駅で「パプリカ」を弾いたら合唱とダンスが発生して奇跡的な空間になった！？【ストリートピアノ】,https://www.youtube.com/watch?v=6Gko4YZejIc,2062147,373000,552,2019/12/19
本田仁美バク転ダンス Hitomi Honda Backflip Dance  with AKB48 Team8,https://www.youtube.com/watch?v=G0bD40HWB08,706593,743,95100,2019/12/19
【文化祭】文化祭のレベルを超えた神ダンス,https://www.youtube.com/watch?v=dGAcCUEnLBk,3006822,2010,149593,2019/12/18
【地獄の10分】2500万回再生された腹筋ダンスがキツイけど効く！痩せるダンスダイエット【10 Minute Cardio Dance Abs Workout 】StayHome,https://www.youtube.com/watch?v=R8yGSd7FTSg,1553795,531000,292,2019/12/17
【高校生ダンス文化祭】機材トラブルでぐだぐだに…と思ったら…,https://www.youtube.com/watch?v=viFtursSM0k,574755,18800,3057,2019/12/15
そらる×うらたぬき-金星のダンス【歌ってみた】,https://www.youtube.com/watch?v=D9Tc_p8y8XA,742756,941000,78,2019/12/15
【フルver】Rat-tat-tatダンス踊ってみた!!!【WhiteAコラボ】,https://www.youtube.com/watch?v=5wjzXWxLxng,590170,27700,2130,2019/12/11
映画連動ダンス曲【しまじろうと　そらとぶふね：「ウンパパたいそう」】こどもちゃれんじ【しまじろうチャンネル公式】,https://www.youtube.com/watch?v=vdiwKYXSVms,700226,1550000,45,2019/12/10
横浜ダンスコレクション2020　/　Yokohama Dance Collection 2020,https://www.youtube.com/watch?v=bTxw7IwCjBM,215,386,55,2019/12/09
【TikTok】流行ダンス♢﻿流行りのダンス集めてみた,https://www.youtube.com/watch?v=13dPkiFUTAg,734816,1140,64457,2019/12/08
HoHoHo メリークリスマス 【歌詞 ダンス振り付き】かほせい☆ カラオケ配信始まりました,https://www.youtube.com/watch?v=JUhVTWHNR1Q,1574442,682000,230,2019/12/07
千鳥ノブ、セクシー女子にきわどいダンスで誘惑されてニヤニヤが止まらない♡!?奥さん大好きなノブは最後まで耐えることはできる？『チャンスの時間 #72』毎週水曜よる11時アベマTVで放送中！,https://www.youtube.com/watch?v=l5zv0cKlsEU,353417,1420000,24,2019/12/04
【嵐 公式ティックトック】ARASHI - Turning Upダンス(プレコーラスバージョン・コーラスバージョン)【12月1日】,https://www.youtube.com/watch?v=tNeTJtCGRrE,1825331,27800,6565,2019/12/01
【スポーツ庁】女性スポーツ促進キャンペーン オリジナルダンス「Like a Parade」,https://www.youtube.com/watch?v=qh-IXtl0ykY,45197,1570,2878,2019/11/28
京都橘高校吹奏楽部 大阪キャッスルマーチング 「Dances with Devils」- ダンス ウイズ デビルズ - メインカメラver. Kyoto Tachibana SHS Band,https://www.youtube.com/watch?v=zB6l8ZFAqgI,121780,20000,608,2019/11/25
「ププッとフムッとかいけつダンス」左右反転【100%】,https://www.youtube.com/watch?v=x2ZcNVDbWOQ,198371,302,65685,2019/11/19
【ポケモン公式】かんあきCHANNELコラボ ～ダンスバージョン～ -ポケモン Kids TV,https://www.youtube.com/watch?v=IjEP-esRoqE,1105542,122000,906,2019/11/19
【WEB限定】豆乳グルトダンス　キレキレバージョン/伊原六花,https://www.youtube.com/watch?v=5BqVXQRubqk,12612,297,4246,2019/11/18
EVERGLOW/Adios カバーダンス,https://www.youtube.com/watch?v=yL8XeSSvTTU,35015,11100,315,2019/11/17
【TikTok】さくらはダンス15曲をランダムで踊れる？,https://www.youtube.com/watch?v=xThzMu5RxeA,1405601,350000,401,2019/11/15
オラフ祭のチェーンダンス（フェロー）,https://www.youtube.com/watch?v=X88ffzgJOsg,302,21,1438,2019/11/15
オラフ祭前日のチェーンダンス（フェロー）,https://www.youtube.com/watch?v=rVWSLpun0c0,307,21,1461,2019/11/15
【BAD GUY】２週間で10キロ痩せるダンスをアラサーが腹筋アレンジverで踊ってみたから一緒にやろう！【痩せるダンス筋トレ】家で一緒にやってみよう,https://www.youtube.com/watch?v=9G0TQpYYyZs,1014346,531000,191,2019/11/05
THE RAMPAGEがダンスバトル！,https://www.youtube.com/watch?v=XBwKro03LJU,203023,11600,1750,2019/11/02
【Youtubeドリーム】憧れの「辻ちゃん」にダンス教わって一緒に踊ってみた！,https://www.youtube.com/watch?v=o148fUwleCc,1405060,2310000,60,2019/11/01
【DATSUDEBU】2週間で10キロ痩せるダンス｜東京ゲゲゲイ（ TOKYO GEGEGAY ）,https://www.youtube.com/watch?v=bCwK8SV12Ys,1226682,48500,2529,2019/11/01
マリオダンス【ダイエット】Dance diet with Mario #070,https://www.youtube.com/watch?v=cXhQqBp4QPc,100532,30000,335,2019/10/31
【TWICE】JYP練習生のダンストレーニングやってみた！！！,https://www.youtube.com/watch?v=E-mwswAuz4c,153490,7110,2158,2019/10/27
ピカチュウ★イーブイといっしょにダンスしたよ♪,https://www.youtube.com/watch?v=hR0np0jCNR8,1941751,3000000,64,2019/10/25
【ポケモン公式】かんあきCHANNELコラボ ～ダンス&amp;バトル～ -ポケモン Kids TV,https://www.youtube.com/watch?v=4_agErCahAg,4366300,122000,3578,2019/10/25
この赤ちゃん先生のダンス教室は今日一番のかわいさ！,https://www.youtube.com/watch?v=pdYYUprTY9w,1060129,32000,3312,2019/10/24
【Bad Guy】150kgのデブと2週間で10kg痩せるダンス踊ってみた！,https://www.youtube.com/watch?v=zTiVv4039WQ,2609002,663000,393,2019/10/19
【TDC】Can&#39;t Stop Dancing!!!!  登美丘高校ダンス部 Tomioka Dance Club,https://www.youtube.com/watch?v=vWUU_y1ivoY,400350,224000,178,2019/10/18
【HANDCLAP】２週間で１０キロ痩せるダンスをお母さん（アラ還）と踊ってみたから一緒に踊ろう！【80年代エアロビver】娘アラサー・母アラ還　【#家で一緒にやってみよう】,https://www.youtube.com/watch?v=tMS7SWB0H8E,4882727,531000,919,2019/10/18
ポカリスエットweb movie｜京都明徳高等学校ダンス部が、ポカリ青ダンス踊ってみた。,https://www.youtube.com/watch?v=qsj6wBA562c,78822,54400,144,2019/10/16
ゴーストダンス / Aqu3ra feat.初音ミク,https://www.youtube.com/watch?v=oJlmclcLD74,422333,45300,932,2019/10/12
みんなでおどろう★グミチョコパンプキン★ハロウィンダンス,https://www.youtube.com/watch?v=TdbDKHempgk,4897830,3000000,163,2019/10/12
ベリーダンス　新宿,https://www.youtube.com/watch?v=j33AGRz_IdQ,9690,1520,637,2019/10/09
Rat-tat-tatダンス超本気で踊ってみた【ハロウィン・ホラー・ナイト】,https://www.youtube.com/watch?v=DDUgOaRul38,1426541,27700,5149,2019/10/08
美 少年【ダンス動画】ねぇ もっと（dance ver.）,https://www.youtube.com/watch?v=iCoGzmIBVFY,919634,1080000,85,2019/10/05
【ダイエットダンス】2週間で10kg痩せるダンス【まなまやver.】,https://www.youtube.com/watch?v=7_EYtrYL274,205321,215000,95,2019/10/05
【MAD】鬼滅の刃【ブリキノダンス】錻離鬼ノ舞踊,https://www.youtube.com/watch?v=w70nk0zoGgA,1669210,8650,19297,2019/10/05
【踊ってみた】金曜日のおはよう ダンス【ハイスクール研究室】,https://www.youtube.com/watch?v=fHmJs2AL7BI,677015,24100,2809,2019/10/04
Travis Japan【ダンス動画】Talk it! Make it! (dance ver.),https://www.youtube.com/watch?v=Y84qcf0QJbU,1382558,1080000,128,2019/10/03
トーンズ・アンド・アイ「ダンス・モンキー 」【日本語字幕付き】,https://www.youtube.com/watch?v=Z4J5Rs30LTM,1073085,2330000,46,2019/10/02
【HANDCLAP】２週間で１００kg痩せるダンスを踊ってみたら死ぬかと思った。,https://www.youtube.com/watch?v=QPJ--w_S__4,4609929,6250000,73,2019/10/01
ポカリスエット｜三重高等学校・中学校ダンス部が、ポカリ青ダンス踊ってみた。,https://www.youtube.com/watch?v=_5DcYlnmIBk,196405,54400,361,2019/10/01
【公式ＭＶ】「オトッペ」新ＥＤソング”ミーチャッタ・ダンス”,https://www.youtube.com/watch?v=5VwBuK7m6Jk,5980557,119000,5025,2019/10/01
【2週間で10kg痩せるダンス】もう１つあったって知ってた?!!,https://www.youtube.com/watch?v=acJjs87QLaE,1607455,221000,727,2019/09/29
【痩せるダンス】TRFのEZ DO DANCEをアラサーが全力で踊ってみたから一緒に踊ろう！【ダイエットダンス Dance Workout】StayHome,https://www.youtube.com/watch?v=8Ozs8VOaegk,1393079,531000,262,2019/09/29
【HANDCLAP】123kgと100kgが2週間で10キロ痩せるダンスを踊ってみた,https://www.youtube.com/watch?v=FVBW-0DcHIM,1432531,63000,2273,2019/09/28
【BAD GUY】2週間で10キロ痩せるダンス踊ってみた,https://www.youtube.com/watch?v=Vle5-S6OMr0,993532,385000,258,2019/09/27
フィロソフィーのダンス/ダンス・オア・ダンス、ミュージック・ビデオ,https://www.youtube.com/watch?v=EjxUe5KaY6M,117189,19700,594,2019/09/26
【HANDCLAP】2週間で10キロ痩せるダンスに初見で挑戦してみた結果www,https://www.youtube.com/watch?v=xV4KHGJhL60,1874003,1070000,175,2019/09/25
おどってみたよ♪ だいすき！ピカチュウとイーブイダンス,https://www.youtube.com/watch?v=GF4re41DciQ,1309818,3000000,43,2019/09/21
i☆Ris / ランダムダンスチャレンジ！【5th Live Tour 2019～FEVER～】,https://www.youtube.com/watch?v=8TdUKk_krx8,771691,5260000,14,2019/09/17
【HANDCLAP】２週間で１０キロ痩せるダンス３０分ノーカットでアラサーが本気で踊ってみたから一緒に踊ろう！【#家で一緒にやってみよう】,https://www.youtube.com/watch?v=EGRvBT0dyfU,3689386,531000,694,2019/09/15
『2週間で10kg痩せるダンス』踊ってみた,https://www.youtube.com/watch?v=SCWA9mlPkmg,274678,3320,8273,2019/09/14
【HANDCLAP】亜衣汁ブシャる！2週間で10kg痩せるダンス踊ってみた【ハンドクラップ】,https://www.youtube.com/watch?v=ng63FcDp_uY,1432096,465000,307,2019/09/13
【 ダンスレクチャー 】この動画を見ればダンスが上達する！ダンサーが教える無料レッスン！！,https://www.youtube.com/watch?v=TWBXho7Vwug,172646,5280,3269,2019/09/13
【HANDCLAP】２週間で１０キロ痩せるダンス１５分ノーカットでアラサーが本気で踊ってみたから一緒に踊ろう！【#家で一緒にやってみよう】,https://www.youtube.com/watch?v=FhWj1GUcdUM,6953041,531000,1309,2019/09/10
"社交ダンス世界1位の神クイックに酔いしれる。。Dmitry zharkov Olga kulikova,Quickstep,2019summer",https://www.youtube.com/watch?v=-VK1cUQaY7Q,128707,1690,7615,2019/09/09
【HANDCLAP】2週間で10キロ痩せるダンス踊ってみた！！【うちで踊ろう】,https://www.youtube.com/watch?v=UJ5vIulxM5g,1416027,369000,383,2019/09/07
【HANDCLAP】２週間で１０キロ痩せるダンスをアラサーが本気で踊ってみたから一緒に踊ろう！〜効果的な踊り方紹介〜　家で一緒にやってみよう,https://www.youtube.com/watch?v=RBYxysBFLkE,216299,531000,40,2019/09/06
【HAND CLAP】2週間で10キロ痩せるダンスを全力で踊ってみたふぉおおおおおおおおおおおおおお,https://www.youtube.com/watch?v=b5ANHcnP9DQ,1437713,716000,200,2019/09/05
【HANDCLAP】2週間で10キロ痩せるダンス30分 ver,https://www.youtube.com/watch?v=TBa2hucpBFs,4519581,2510000,180,2019/09/03
【検証】2週間で10キロ痩せるダンスを2週間毎日やってみた【HANDCLAP】,https://www.youtube.com/watch?v=yjHvLWrXFHo,5614167,8540000,65,2019/09/03
7 MEN 侍【爆笑!しりとりダンス】Travis Japanにダンスで挑む!!,https://www.youtube.com/watch?v=qhnGrbfPI7I,826362,1080000,76,2019/08/23
【10分耐久】2週間で10キロ痩せるダンス！【HANDCLAP】,https://www.youtube.com/watch?v=_Uqg4a3Qw6A,1692234,374000,452,2019/08/23
同志社香里高校ダンス部、登美丘高校破り初優勝 「刻韻」ダンスで頂点に　『DANCE CLUB CHAMPIONSHIP 第7回全国高等学校ダンス部選手権,https://www.youtube.com/watch?v=ZV_CHIsCUlo,314651,864000,36,2019/08/21
【HandClap】2週間で10キロ痩せるダンス踊ってみた！！,https://www.youtube.com/watch?v=K1VjJmSO3GU,5093871,350000,1455,2019/08/21
【カット割りver.】ラストアイドル×akane　史上最高難度ダンス「青春トレイン」（2019.8.10 神宮外苑花火大会）,https://www.youtube.com/watch?v=N88MCz35aTg,1050263,56300,1865,2019/08/17
マンションや室内でも【有酸素運動】ダンスで脂肪燃焼🔥 #056,https://www.youtube.com/watch?v=O5zRRfyQgFo,305705,30000,1019,2019/08/17
【ダンス】おかしのいえをつくろう～！🍭はねまりチャンネル🍬初オリジナルソング🍫子供の歌・童謡,https://www.youtube.com/watch?v=NZl0qe0OcOE,1429447,2980000,47,2019/08/17
【ちびっこHandClap】話題のダンス踊ってみた！【最年少！？】,https://www.youtube.com/watch?v=EipumeFWpTk,904701,195000,463,2019/08/14
【HANDCLAP】2週間で10kg痩せるダンスの効果的な踊り方紹介！一緒にダイエットしよう！◆2주에 10kg 빠지는 춤 ｜Fitz and the Tantrums ／Dancing,https://www.youtube.com/watch?v=PldDFmQKKZs,3100833,276000,1123,2019/08/14
ピカチュウ大量発生チュウ 2019 【みなとみらいの海×ピカチュウ】 ピカチュウダンスショー 赤レンガパーク  Pikachu Dance,https://www.youtube.com/watch?v=QFJlkVUu5Rc,7624,130000,5,2019/08/09
【神回】プロが「2週間で10kg痩せるダンス」を踊ってみた。,https://www.youtube.com/watch?v=PT_7qZDoQSw,1373959,264000,520,2019/08/08
映画「ダンスウィズミー」【VROOM】「ワケあって踊らされました in NY」予告編（VR版）,https://www.youtube.com/watch?v=XwsMgcRKswI,3435,1650,208,2019/08/08
【HandClap】150kgのデブと2週間で10キロ痩せるダンス踊ってみたみた!!!,https://www.youtube.com/watch?v=-M3ATy6qHNQ,1324829,663000,199,2019/08/07
ブリキノダンス 【鬼滅の刃 MAD】,https://www.youtube.com/watch?v=fDjU-OaXuxo,29173,371,7863,2019/08/05
【NHK】ピカピカブー（いないいないばあっ！）【こどものうた・童謡・手遊び・キッズ・ダンス】Japanese Children&#39;s Song,https://www.youtube.com/watch?v=FbHjlmnoq9I,1599195,74700,2140,2019/08/02
TWICE JYP練習生基礎ダンス講座!! 皆んなも一緒に覚えよう！,https://www.youtube.com/watch?v=3vxCIRFY7bI,543716,427,127333,2019/07/29
"【NHK】からだ☆ダンダン＜振り付き＞【こどものうた・童謡・手遊び・キッズ・ダンス】Japanese Children&#39;s Song, Nursery Rhymes,Fingerplay Songs",https://www.youtube.com/watch?v=0LZC5W4dDGA,10496042,74700,14050,2019/07/26
【アニソン2on2ダンスバトル】あきばっか～のvol.8 FINAL スギヲ＆SAYA vs イト＆ネス【 A-POP 2on2 DANCE BATTLE 】,https://www.youtube.com/watch?v=KwUxoC0w4Yo,732973,11100,6603,2019/07/24
ひろしま盆ダンス2019（Hiroshima Bon Dance）/ 2019年8月10日・11日に旧広島市民球場跡地で開催｜浴衣で盆踊り♪,https://www.youtube.com/watch?v=Lrj9SU54Fds,7443,66,11277,2019/07/24
【スマイリー×なろ屋】ダンスロボットダンス歌ってみた,https://www.youtube.com/watch?v=N89Q_xaDwrg,3312284,126000,2628,2019/07/19
[MMD]ライアーダンス Sour式初音ミク鏡音リン巡音ルカ ep.01 悠々杯2nd [PV],https://www.youtube.com/watch?v=xLk4iBXWg58,806231,70500,1143,2019/07/14
【MAD】鬼滅の刃【バケモノダンスフロア】DEMON DANCE FLOOR,https://www.youtube.com/watch?v=2CJrq_75LXI,1570308,8650,18153,2019/07/13
